originator,OML.ols,OML.sp,GML.ols,GML.sp,Competitive Suppression.ols,Competitive Suppression.sp,Direct Suppression.ols,Direct Suppression.sp,Generalized Competitive Suppression.ols,Generalized Competitive Suppression.sp,Generalized Direct Suppression.ols,Generalized Direct Suppression.sp,ROE Competitive Suppression.ols,ROE Competitive Suppression.sp,ROE Direct Suppression.ols,ROE Direct Suppression.sp
Competitive Suppression,-204.354552923486,-199.728181247973,-227.912435442205,-191.115732673666,-173.026281349605,-162.140208409683,-229.811360547523,-221.895739035379,-245.439571969905,-169.559962399998,-239.198561275607,-199.964280612443,-173.181221483852,-162.07271381061,-236.438280850014,-198.911502726692
Direct Suppression,-188.756976868267,-184.35163813186,-215.585437143456,-189.17601442332,-230.520770132529,-225.123967466694,-180.932067225114,-176.123080268096,-292.281995574246,-231.042678932831,-209.964329216715,-177.963768739827,-203.592917750342,-192.255661414888,-219.982344498869,-178.90220559892
Generalized Competitive Suppression,-214.177180870997,-212.099547458799,-239.92001883878,-199.132542032739,-188.337902914532,-178.015111774197,-233.76671494468,-232.956811675314,-295.196001495281,-176.193457322121,-207.287626735853,-194.183100981689,-187.688265498982,-174.12836606314,-226.101527851593,-212.245677738735
Generalized Direct Suppression,-167.555474518859,-164.022408484182,-136.115725741301,-110.809512067232,-187.625507641377,-184.16794635404,-182.251906843649,-178.761404916335,-186.85123949487,-168.551886280375,-104.70925115532,-89.845495554812,-164.029560622119,-160.473667851481,-287.727632377185,-164.278030100413
ROE Competitive Suppression,-183.491156063632,-173.675144517822,-210.078897746444,-173.600424360448,-201.066032621674,-179.817517643915,-200.996888824775,-192.542904557803,-247.215668776188,-176.700517373157,-234.248510172129,-189.505189975255,-185.753621285543,-163.116626731104,-225.296410319956,-174.311313077981
ROE Direct Suppression,-204.476275782667,-175.638537311876,-291.849797099795,-177.405638789763,-230.208927305369,-204.845552336522,-210.508440534816,-182.56436940737,-280.964912777851,-207.767445810816,-267.832156722819,-178.917316216862,-219.303022205721,-175.891054483776,-375.883321944063,-175.489673848111
OML,-156.577120954731,-152.169716310615,-207.224851614265,-154.506310264667,-241.541251792301,-204.633988980681,-171.265040360247,-168.257931329052,-254.900457273247,-203.78194681604,-242.173649915472,-163.62490074071,-188.058861051094,-155.632912619231,-254.135809079503,-154.686817861461
GML,-191.701454743693,-171.872559486595,-170.043921685548,-117.208486006005,-180.056567995298,-174.655446806899,-219.169804214051,-199.45569979392,-162.642822934454,-145.393680648753,-223.537324808061,-128.433387725178,-169.817158448222,-158.495294525368,-254.097573477578,-171.791698730577
Competitive Suppression,-207.32885800295,-203.991357729189,-257.570913580955,-202.320618617128,-191.304546919351,-176.631003172419,-227.190213510534,-223.349025813722,-250.663423124393,-179.791530004878,-266.892466989152,-209.058282649944,-196.175255161999,-172.171535339632,-230.624675032563,-204.219574476998
Direct Suppression,-210.696634190495,-194.896464297874,-269.093735479558,-199.560040765512,-242.301450161619,-235.059410097271,-197.752607454512,-187.628135231402,-258.457374130252,-234.618476455023,-269.106179961507,-194.190694439,-220.622914602198,-200.151648568177,-280.799956950786,-192.975605976911
